"cz_cec_doe","category","city_ind","num_floors","load_source","month","P_avg_per_floor_sqft","P_avg_per_roof_sqft","P_min","P_max","P_sd","Irr_annual_avg","CDD_annual_tot","Irr","CDD","num_days","kw_from_solar_mo","in_over_out_mo","P_unmet_per_roof_sqft","P_unmet_percent","rank"
"14_3B","Pri",0,1,"interp_cz",12,0.00152603640860215,0.00152603640860215,0.00074269,0.002906062,0.000874481804891483,6905.83333333333,4225,5660,5,31,0.00164322411022027,1.07679220558405,0.000117187701618123,0.0767922055840507,3
"14_3B","Pri",0,1,"interp_cz",1,0.00155671938037634,0.00155671938037634,0.00074172,0.002899015,0.000877316629744223,6905.83333333333,4225,5890,4,31,0.00170999823484053,1.09846273926848,0.000153278854464188,0.0984627392684812,5
"14_3B","Pri",0,1,"interp_cz",5,0.00201550434543011,0.00201550434543011,0.000745391,0.004830898,0.00134221526888992,6905.83333333333,4225,7510,442,31,0.00218032032999192,1.08177406560076,0.00016481598456181,0.0817740656007556,4
"14_3B","Pri",0,1,"interp_cz",11,0.00163921005555556,0.00163921005555556,0.000743359,0.003205679,0.000946695667971167,6905.83333333333,4225,6300,54,30,0.00182903037003317,1.11579987191652,0.000189820314477611,0.115799871916524,6
"14_3B","Pri",0,1,"interp_cz",2,0.00157746639136905,0.00157746639136905,0.000742942,0.00308976,0.000898682901543944,6905.83333333333,4225,6230,22,28,0.00180870781036613,1.14659039347038,0.000231241418997084,0.146590393470377,8
"14_3B","Pri",0,1,"interp_cz",10,0.00180815629032258,0.00180815629032258,0.000744589,0.004080371,0.00115622710529994,6905.83333333333,4225,7070,319,31,0.00205257852637055,1.1351776045888,0.000244422236047973,0.135177604588797,7
"14_3B","Pri",0,1,"interp_cz",7,0.00176763688978495,0.00176763688978495,0.000650411,0.004473096,0.00105661606560429,6905.83333333333,4225,7140,915,31,0.00207290108603759,1.17269621267623,0.000305264196252642,0.172696212676225,9
"14_3B","Pri",0,1,"interp_cz",8,0.00174233716666667,0.00174233716666667,0.000650675,0.004379065,0.000987662465572249,6905.83333333333,4225,7340,852,31,0.00213096554222912,1.22305004048439,0.000388628375562451,0.223050040484386,10
"14_3B","Pri",0,1,"interp_cz",3,0.0017058693844086,0.0017058693844086,0.000743321,0.003414489,0.000979860616679581,6905.83333333333,4225,7260,80,31,0.00210773975975251,1.23558097649031,0.000401870375343904,0.235580976490311,11
"14_3B","Pri",0,1,"interp_cz",4,0.00174184984166667,0.00174184984166667,0.000743915,0.003911146,0.00111616048167322,6905.83333333333,4225,7500,217,30,0.00217741710718234,1.25006016884837,0.000435567265515674,0.250060168848371,12
"14_3B","Pri",1,1.3,"interp_cz",6,0.002541716,0.0033042308,0.000747089,0.005791319,0.00176186097723101,6905.83333333333,4225,7470,691,30,0.00216870743875361,0.656342601356301,-0.00113552336124639,-0.343657398643699,1
