category,cz_cec_doe,city_ind,utility,Freq,roof_sqft.x,OID,latitude,longitude,roof_sqft.y,floor_sqft,diff,month,n,min_io,min_irr,max_p,max_punmet,num_floors,in_over_out_mo,clp_index,clp_name,clp_multiplier,critical_load_pct,dur_index,dur_name,dur_duration,roof_sqft
CC,16_5B,0,Pacific Gas & Electric Company,0.5,11698.76992,5298,39.32526812,-120.1989932,14036.70155,11700,2337.931625,4,1,NA,NA,NA,0.000357719,1,1.263963562,5,high,1.333333333,1.685284749,2,4 day,96,11700
CC,12_3B,0,Pacific Gas & Electric Company,0.1,3198.771136,4425,36.98624978,-120.6295568,3139.724563,3200,59.0465732,1,2,0.688575791,3110,NA,NA,1,0.688575791,2,low_medium,0.666666667,0.459050528,2,4 day,96,3200
W,2_3C,1,Pacific Gas & Electric Company,0.75,14812.45113,17086,37.97505513,-122.5335222,15824.38714,14800,1011.936008,8,1,NA,NA,NA,0.00117192,1,2.272022864,4,high_medium,1,2.272022864,3,8 day,192,14800
W,12_3B,1,Modesto Irrigation District,0.1,2543.392154,9846,37.67017489,-120.9592353,3278.596494,2500,735.2043395,4,1,NA,NA,NA,0.001089371,1,2.346004695,4,high_medium,1,2.346004695,3,8 day,192,2500
Pri,16_5B,0,Pacific Gas & Electric Company,0.99,150264.4189,1052,39.32498208,-120.2199284,101193.1053,150300,49071.31362,12,2,0.657696938,3440,NA,NA,1,0.657696938,2,low_medium,0.666666667,0.438464625,3,8 day,192,150300
Sec,12_3B,1,Sacramento Municipal Utility District,0.75,196445.8043,5834,38.49468367,-121.4662062,215711.3801,275000,19265.57588,1,2,0.518051418,3110,NA,NA,1.4,0.518051418,1,low,0.5,0.259025709,2,4 day,96,196400
Pri,5_3C,0,Pacific Gas & Electric Company,0.25,34543.24085,4202,35.45214786,-120.9046969,32672.53741,34500,1870.70344,7,1,NA,NA,NA,0.000751341,1,1.601563666,3,medium,0.8,1.281250933,2,4 day,96,34500
W,16_3C,0,Southern California Edison,0.25,4413.584968,16301,34.45134037,-119.2426333,4489.040832,4400,75.45586455,4,1,NA,NA,NA,0.001132032,1,2.433130929,1,low,0.5,1.216565464,2,4 day,96,4400
W,3_3B,1,Pacific Gas & Electric Company,0.75,14812.45113,137,38.09324305,-122.2483526,12965.49138,14800,1846.95975,12,2,1.459979596,3430,NA,NA,1,1.459979596,3,medium,0.8,1.167983677,3,8 day,192,14800
W,8_3B,1,City of Anaheim Public Utilities Department,1,474347.0522,14652,33.85878439,-117.8519213,98151.20031,474300,376195.8519,10,1,1.605678478,NA,NA,NA,1,1.605678478,2,low_medium,0.666666667,1.070452319,3,8 day,192,474300
CC,8_3B,0,Southern California Edison,0.5,11698.76992,16781,33.63881195,-117.63161,11045.23152,11700,653.5384087,10,1,0.741016547,NA,NA,NA,1,0.741016547,5,high,1.333333333,0.988022063,2,4 day,96,11700
W,10_3B,0,Southern California Edison,0.5,8158.175525,17533,34.12054772,-117.4397457,8059.709618,8200,98.46590699,8,1,NA,NA,0.001277491,NA,1,1.656723117,1,low,0.5,0.828361559,1,2 day,48,8200
